numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201222120W;Programming securely with cryptography;PROSECCO;2012;Unité propre;21;2;;;;;BLANCHET;Bruno;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;196718247G;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201222120W&PUBLIC=OK
201322124W;Combinatoire, Optimisation et Algorithmes pour les Télécommunications;COATI;2013;Unité propre;21;2;http://www.inria.fr/equipes/coati;;06902;Sophia Antipolis;COUDERT;David;;;Centre national de la recherche scientifique,Institut national de la recherche en informatique et automatique,Université Côte d'Azur;CNRS,INRIA,UniCA;EPST,EPST,UNIV;Organismes de type EPST,Organismes de type EPST,Université;0753639Y,0780491K,0062205P;18008901303720,18008904700013,13002566100013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;198318250R,201220432L;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201322124W&PUBLIC=OK
200120913G;Département des études et de la recherche de l'Institut national d'histoire de l'art;DER - INHA;2001;Equipe interne;1;1;http://www.inha.fr/fr/recherche/le-departement-des-etudes-et-de-la-recherche.html;2 rue Vivienne;75002;Paris;NERLICH;France;;;Institut National d'Histoire de l'Art;INHA;AUT_ETAB;Autres établissements ESR;0755026F;19754688000018;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200120913G&PUBLIC=OK
200512546V;Astroparticule et Cosmologie;APC;2005;Unité mixte;22;2;http://www.apc.univ-paris7.fr/APC_CS/;UPDiderot - Bât. Condorcet - 10 rue A. Domon et L. Duquet;75205;PARIS CEDEX 13;CHASSANDE-MOTTIN;Eric;Dir Adjoint;UMR 7164,UMR 7164,UMR 7164,UMR 7164,UMR 7164,UMR 7164;Observatoire Paris,Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Université Paris Cité,Centre National d'Etude Spatiales,Université Paris sciences et lettres;OBSV.PARIS,CNRS,CEA,U PARIS Cité,CNES,PSL;AUT_ETAB,EPST,EPIC,UNIV,EPIC,UNIV;Autres établissements ESR,Organismes de type EPST,Organismes de type EPIC,Université,Organismes de type EPIC,Université;0753496T,0753639Y,0912281K,0755976N,0752743Z,0756036D;19753496900013,18008901303720,77568501900587,13002573700011,77566591200082,13002614900018;TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;;201722512A,199118599K;;;;;2,3;Physique,Sciences de la terre et de l'univers, espace;PE9;Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200512546V&PUBLIC=OK
201722501N;Centre national de compétences en Nanosciences;C'Nano;2017;Unité propre;21;2;;SORBONNE UNIVERSITE Tour 43-44 - 5ème étage Pièce 51 4 Place Jussieu BP 174;75252;PARIS CEDEX 05;CHANEAC;Corinne;DIR;UAR 2205;Centre national de la recherche scientifique;CNRS;EPST;Organismes de type EPST;0753639Y;18008901303720;TUTE;établissement tutelle;;;;;;;2,4;Physique,Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722501N&PUBLIC=OK
201722513B;Département d'Electronique, des Détecteurs et d'Informatique pour la Physique;DEDIP;2017;Unité propre;21;2;;Centre CEA de Saclay;91191;Gif-sur-Yvette;BOBIN,PORCHERAY;Jérôme,Christine;Directeur,Adjointe;;Commissariat à l'énergie atomique et aux énergies alternatives,Université Paris-Saclay;CEA,U PARIS-SACLAY;EPIC,UNIV;Organismes de type EPIC,Université;0912281K,0912408Y;77568501900587,13002602400054;TUTE,PART;établissement tutelle,établissement participant;;199118599K;;;;;2,9;Physique,Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722513B&PUBLIC=OK
199712638E;Institut Jacques Monod;IJM;1997;Unité mixte;22;2;http://www.ijm.fr/;UPDiderot - Bât. Buffon- 15 Rue Hélène Brion;75013;PARIS;MINC,DOYE;Nicolas,Valérie;Dir. Adjoint,Directrice;UMR 7592,UMR 7592,UMR 7592;Centre national de la recherche scientifique,Université Paris Cité,Institut national de la sante et de la recherche medicale;CNRS,U PARIS Cité,INSERM;EPST,UNIV,EPST;Organismes de type EPST,Université,Organismes de type EPST;0753639Y,0755976N,0755364Y;18008901303720,13002573700011,18003604800015;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;;;;;;5;Biologie, médecine et santé;"LS2;LS1";Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712638E&PUBLIC=OK
201122569N;Laboratoire Interdisciplinaire de Physique;LIPHY;2011;Unité mixte;22;2;https://www-liphy.ujf-grenoble.fr/;140 rue de la physique;38058;Grenoble cedex 9;;;;UMR 5588,UMR 5588;Centre national de la recherche scientifique,Université Grenoble Alpes;CNRS,GRENOBLE ALPES;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0383546Y;18008901303720,13002608100013;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;2;Physique;PE3;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201122569N&PUBLIC=OK
201220893M;UMS-Institut de physique du globe de Paris;UMS-IPGP;2012;Unité mixte;22;2;http://www.ipgp.fr;1 rue Jussieu;75238;PARIS CEDEX 05;LE FRIANT,CHAUSSIDON;Anne,Marc;DIR-ADJ,DIR;UMS 3454,UAR 3454;Institut de Physique du Globe Paris,Centre national de la recherche scientifique;IPG PARIS,CNRS;AUT_ETAB,EPST;Autres établissements ESR,Organismes de type EPST;0753428U,0753639Y;19753428200078,18008901303720;TUTE,TUTE;établissement tutelle,établissement tutelle;200512539M;200512539M;;;;;3;Sciences de la terre et de l'univers, espace;"PE10;PE9";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,Universe Sciences : Astro-physics/-chemistry/-biology,solar system,planetary systems,stellar, galactic and extragalactic astronomy,cosmology,space sciences,astronomical instrumentation and data;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220893M&PUBLIC=OK
199221787W;Laboratoire d'immunologie plaquettaire;LIP;1992;Unité propre;21;2;;1-3 rue du Vercors;69007;Lyon;MERIEUX;Yves;;;Etablissement Français du Sang;EFS;EPA;Etablissement public à caractère administratif;0932598U;42882285202140;TUTE;établissement tutelle;;;;;;;;;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199221787W&PUBLIC=OK
